source_file,freesound_id,freesound_url,freesound_name,uploader,recordist,source_licence,source_licence_url,pack,good_sounds_id,waveform_match_r,runner_up_r,checked
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_27.flac,360013,https://freesound.org/people/MTG/sounds/360013/,Sax Baritone - F2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5300,0.9811,0.3712,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_28.flac,360014,https://freesound.org/people/MTG/sounds/360014/,Sax Baritone - F#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5301,1.0,0.5833,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_29.flac,360015,https://freesound.org/people/MTG/sounds/360015/,Sax Baritone - G2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5302,0.9951,0.5022,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_30.flac,360016,https://freesound.org/people/MTG/sounds/360016/,Sax Baritone - G#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5303,1.0,0.2207,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_31.flac,360017,https://freesound.org/people/MTG/sounds/360017/,Sax Baritone - A2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5304,0.995,0.0651,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_32.flac,360018,https://freesound.org/people/MTG/sounds/360018/,Sax Baritone - A#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5305,0.9955,0.2966,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_33.flac,360019,https://freesound.org/people/MTG/sounds/360019/,Sax Baritone - B2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5306,0.9669,0.6684,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_34.flac,360020,https://freesound.org/people/MTG/sounds/360020/,Sax Baritone - C3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5307,1.0,0.3595,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_02.flac,359987,https://freesound.org/people/MTG/sounds/359987/,Sax Baritone - C#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5274,0.9956,0.8647,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_04.flac,360024,https://freesound.org/people/MTG/sounds/360024/,Sax Baritone - E3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5311,1.0,0.4507,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_05.flac,360025,https://freesound.org/people/MTG/sounds/360025/,Sax Baritone - F3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5312,0.9967,0.8628,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_06.flac,360026,https://freesound.org/people/MTG/sounds/360026/,Sax Baritone - F#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5313,0.9869,0.5492,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_07.flac,360027,https://freesound.org/people/MTG/sounds/360027/,Sax Baritone - G3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5314,0.9896,0.5419,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_08.flac,360028,https://freesound.org/people/MTG/sounds/360028/,Sax Baritone - G#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5315,0.992,0.4793,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_09.flac,360029,https://freesound.org/people/MTG/sounds/360029/,Sax Baritone - A3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5316,1.0,0.4838,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_10.flac,360030,https://freesound.org/people/MTG/sounds/360030/,Sax Baritone - C2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5317,1.0,0.6893,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_11.flac,360031,https://freesound.org/people/MTG/sounds/360031/,Sax Baritone - C#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5318,0.9844,0.6699,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_12.flac,360032,https://freesound.org/people/MTG/sounds/360032/,Sax Baritone - D2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5319,0.9955,0.771,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_13.flac,360033,https://freesound.org/people/MTG/sounds/360033/,Sax Baritone - D#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5320,0.9937,0.701,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_14.flac,360034,https://freesound.org/people/MTG/sounds/360034/,Sax Baritone - E2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5321,0.9972,0.8713,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_15.flac,360035,https://freesound.org/people/MTG/sounds/360035/,Sax Baritone - F2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5322,0.9938,0.1592,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_p_16.flac,360036,https://freesound.org/people/MTG/sounds/360036/,Sax Baritone - F#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5323,0.9513,0.5301,2026-09-24
