freesound_id,url,name,uploader,pack,licence_url,uploaded,description,checked
358413,https://freesound.org/people/MTG/sounds/358413/,Sax Alto - E3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::3 midi note::40 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4677",2026-09-24
358414,https://freesound.org/people/MTG/sounds/358414/,Sax Alto - F3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::3 midi note::41 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4678",2026-09-24
358415,https://freesound.org/people/MTG/sounds/358415/,Sax Alto - F#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::3 midi note::42 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4679",2026-09-24
358416,https://freesound.org/people/MTG/sounds/358416/,Sax Alto - G3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G octave::3 midi note::43 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4680",2026-09-24
358417,https://freesound.org/people/MTG/sounds/358417/,Sax Alto - G#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G# octave::3 midi note::44 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4681",2026-09-24
358418,https://freesound.org/people/MTG/sounds/358418/,Sax Alto - A3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A octave::3 midi note::45 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4682",2026-09-24
358419,https://freesound.org/people/MTG/sounds/358419/,Sax Alto - A#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A# octave::3 midi note::46 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4683",2026-09-24
358420,https://freesound.org/people/MTG/sounds/358420/,Sax Alto - B3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::B octave::3 midi note::47 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4684",2026-09-24
358421,https://freesound.org/people/MTG/sounds/358421/,Sax Alto - C4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C octave::4 midi note::48 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4685",2026-09-24
358422,https://freesound.org/people/MTG/sounds/358422/,Sax Alto - C#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::4 midi note::49 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4686",2026-09-24
358423,https://freesound.org/people/MTG/sounds/358423/,Sax Alto - D4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::4 midi note::50 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4687",2026-09-24
358424,https://freesound.org/people/MTG/sounds/358424/,Sax Alto - D#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::4 midi note::51 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4688",2026-09-24
358425,https://freesound.org/people/MTG/sounds/358425/,Sax Alto - E4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::4 midi note::52 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4689",2026-09-24
358426,https://freesound.org/people/MTG/sounds/358426/,Sax Alto - F4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::4 midi note::53 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4690",2026-09-24
358427,https://freesound.org/people/MTG/sounds/358427/,Sax Alto - F#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::4 midi note::54 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4691",2026-09-24
358428,https://freesound.org/people/MTG/sounds/358428/,Sax Alto - G4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G octave::4 midi note::55 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4692",2026-09-24
358429,https://freesound.org/people/MTG/sounds/358429/,Sax Alto - G#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G# octave::4 midi note::56 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4693",2026-09-24
358430,https://freesound.org/people/MTG/sounds/358430/,Sax Alto - A4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A octave::4 midi note::57 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4694",2026-09-24
358431,https://freesound.org/people/MTG/sounds/358431/,Sax Alto - A#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A# octave::4 midi note::58 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4695",2026-09-24
358432,https://freesound.org/people/MTG/sounds/358432/,Sax Alto - B4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::B octave::4 midi note::59 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4696",2026-09-24
358433,https://freesound.org/people/MTG/sounds/358433/,Sax Alto - C5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C octave::5 midi note::60 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4697",2026-09-24
358434,https://freesound.org/people/MTG/sounds/358434/,Sax Alto - C#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::5 midi note::61 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4698",2026-09-24
358435,https://freesound.org/people/MTG/sounds/358435/,Sax Alto - D5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::5 midi note::62 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4699",2026-09-24
358436,https://freesound.org/people/MTG/sounds/358436/,Sax Alto - D#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::5 midi note::63 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4700",2026-09-24
358437,https://freesound.org/people/MTG/sounds/358437/,Sax Alto - E5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::5 midi note::64 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4701",2026-09-24
358438,https://freesound.org/people/MTG/sounds/358438/,Sax Alto - F5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::5 midi note::65 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4702",2026-09-24
358439,https://freesound.org/people/MTG/sounds/358439/,Sax Alto - F#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::5 midi note::66 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4703",2026-09-24
